"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"GPT-5.5 (xhigh)","86.76","83.96","3.22%","+3.4%","357","24261","¥140.62","¥207.00","26-04-24","1"
"GPT-5.4 (high)","83.85","79.56","5.12%","-","301","18121","¥52.51","¥103.50","26-03-06","1"
"Gemini 3.1 Pro (high)","82.83","72.16","12.87%","+5.8%","203","23655","¥54.84","¥82.80","26-02-19","1"
"Claude Opus 4.6(Think)","81.19","77.23","4.87%","-","445","33464","¥161.63","¥172.50","26-02-06","1"
"DeepSeek V4 Pro(max)","79.31","70.49","11.12%","-","1450","50515","¥33.95","¥24.00","26-04-24","1"
"Kimi-K2.6 (Think)","74.91","57.33","23.46%","+4.8%","365","34205","¥25.86","¥27.00","26-04-20","1"
"GLM-5.1 (Think)","74.71","64.37","13.83%","+8.5%","598","29608","¥19.90","¥24.00","26-04-08","1"
"Doubao-Seed-2.0-pro  (high)","73.12","66.02","9.72%","+23.3%","587","36603","¥16.40","¥16.00","26-02-14","1"
"DeepSeek V4 Flash(max)","70.94","56.54","20.29%","-","610","46114","¥2.58","¥2.00","26-04-24","1"
"Qwen3.6-Max-Preview(Think)","69.28","60.68","12.41%","+12%","638","28645","¥43.31","¥54.00","26-04-20","1"
"Gemini 3 Flash (high)","68.89","58.87","14.55%","+65%","226","44700","¥25.91","¥20.70","25-12-18","1"
"Tencent Hy3 preview","67.33","56.63","15.89%","+71.2%","186","28433","¥3.18","¥4.00","26-04-23","1"
"Qwen3.6-Plus(Think)","66.63","55.35","16.94%","+9.27%","555","40287","¥13.54","¥12.00","26-04-02","1"
"Grok 4.20 Beta(Think)","63.98","48.62","24.00%","+19.2%","104","19853","¥23.01","¥41.40","26-03-12","1"
"GPT-5.4 Mini(high)","63.07","52.61","16.58%","-10.5%","241","29963","¥26.05","¥31.05","26-03-18","1"
"Claude Opus 4.6","62.17","51.58","17.03%","+42.5%","119","10232","¥49.42","¥172.50","26-02-06","0"
"MiniMax-M2.7","61.67","47.37","23.19%","-","707","36340","¥8.55","¥8.40","26-03-18","1"
"Claude Sonnet 4.5(Think)","59.38","46.89","21.04%","+29%","239","15006","¥43.49","¥103.50","25-09-29","1"
"Gemma 4 31B(Think)","53.13","44.24","16.73%","-","1029","16811","¥1.30","¥2.76","26-04-03","1"
"MiMo-V2.5-Pro","51.96","36.95","28.89%","+18.9%","321","22693","¥13.34","¥21.00","26-04-23","1"
"Qwen3.5-27B(Think)","51.91","44.80","13.70%","-","377","26462","¥3.56","¥4.80","26-02-25","1"
"Qwen3.6-Max-Preview","50.03","40.42","19.21%","+18.2%","166","8212","¥12.42","¥54.00","26-04-20","0"
"Step-3.5-Flash","47.86","34.07","28.82%","+70.9%","244","39386","¥2.32","¥2.10","26-02-02","1"
"LongCat-Flash-Thinking-2601","47.76","31.26","34.54%","-","509","37613","-","-","26-01-23","1"
"Qwen3.6-Plus","45.95","39.51","14.01%","+4.5%","57","8007","¥2.69","¥12.00","26-04-02","0"
"Gemini 3.1 Flash Lite (high)","43.81","31.01","29.22%","-","98","45859","¥13.29","¥10.35","26-03-03","1"
"MiMo-V2-Pro","43.70","31.36","28.23%","-","313","20087","¥11.81","¥21.00","26-03-19","1"
"ERNIE 5.0","42.87","28.37","33.81%","+14.9%","835","23192","¥15.59","¥24.00","26-01-20","1"
"MiMo-V2.5","38.00","28.54","24.89%","-","124","14815","¥5.81","¥14.00","26-04-23","1"
"Ling-2.5-1T","36.03","29.17","19.03%","+48.4%","218","7524","¥3.37","¥16.00","26-02-16","0"
"Claude Sonnet 4.6","34.34","26.52","22.78%","+91.5%","38","2980","¥9.01","¥108.00","26-02-17","0"
"DeepSeek V4 Flash","33.94","25.55","24.71%","-","39","2438","¥0.14","¥2.00","26-04-24","0"
"GLM-5.1","32.51","26.91","17.22%","-","37","2012","¥1.35","¥24.00","26-04-08","0"
"Gemini 3 Flash","32.41","27.08","16.43%","+39.5%","10","1207","¥0.70","¥20.70","25-12-18","0"
"Doubao-Seed-2.0-pro","32.23","23.66","26.57%","+44.2%","32","1951","¥0.87","¥16.00","26-02-14","0"
"Kimi-K2.5","31.93","20.88","34.61%","+5.5%","53","2152","¥1.27","¥21.00","26-01-27","0"
"讯飞星火X2","29.64","20.55","30.69%","-","594","14914","¥0.84","¥2.00","26-02-11","1"
"Gemini 3.1 Flash Lite","22.63","21.97","2.89%","-","5","1036","¥0.30","¥10.35","26-03-03","0"
"MiMo-V2.5","21.80","12.77","41.40%","-","24","2818","¥1.10","¥14.00","26-04-23","0"
"Ling-2.6-flash","21.06","13.61","35.39%","+15.2%","23","4655","¥0.27","¥2.07","26-04-22","0"
"Mistral Large 3","20.09","13.70","31.81%","+29.9%","53","2503","¥0.73","¥10.35","25-12-03","0"
"Grok 4.20 Beta","8.94","6.46","27.75%","-50.3%","5","494","¥0.57","¥41.40","26-03-12","0"
