"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"Claude Opus 4.8 (xhigh)","88.32","68.32","22.64%","+9.9%","518","37987","¥183.48","¥172.50","26-05-29","1"
"GPT-5.5 (xhigh)","83.66","80.47","3.81%","+3.4%","328","23167","¥134.28","¥207.00","26-04-24","1"
"Qwen3.7-Max (xhigh)","81.96","78.10","4.71%","+37.8%","305","45314","¥45.68","¥36.00","26-05-21","1"
"Gemini 3.1 Pro (high)","81.29","67.91","16.46%","+5.8%","163","19759","¥45.81","¥82.80","26-02-19","1"
"Claude Opus 4.6 (high)","80.31","76.48","4.77%","-","321","32477","¥156.86","¥172.50","26-02-06","1"
"Gemini 3.5 Flash (high)","77.97","73.93","5.18%","+24.6%","186","35215","¥61.23","¥62.10","26-05-20","1"
"DeepSeek V4 Pro (max)","77.45","64.82","16.31%","-","1330","45935","¥7.72","¥6.00","26-04-24","1"
"Doubao-Seed-2.0-pro  (high)","69.50","57.40","17.41%","+23.3%","477","28487","¥12.76","¥16.00","26-02-14","1"
"Kimi-K2.6","66.81","47.81","28.44%","+4.8%","551","28561","¥21.59","¥27.00","26-04-20","1"
"DeepSeek V4 Flash (max)","66.27","50.97","23.09%","-","491","37978","¥2.13","¥2.00","26-04-24","1"
"GLM-5.1","65.51","55.59","15.14%","+8.5%","613","30184","¥20.28","¥24.00","26-04-08","1"
"Tencent Hy3 preview","58.08","47.01","19.06%","+71.2%","199","26558","¥2.97","¥4.00","26-04-23","1"
"Qwen3.6-Plus","55.53","44.99","18.98%","+9.27%","478","32625","¥10.96","¥12.00","26-04-02","1"
"Claude Opus 4.6","53.71","43.29","19.40%","+42.5%","57","4824","¥23.30","¥172.50","26-02-06","0"
"GPT-5.4 Mini (high)","53.65","40.59","24.34%","-10.5%","214","26725","¥23.23","¥31.05","26-03-18","1"
"Doubao-Seed-2.0-lite 0428  (high)","53.05","45.03","15.12%","-","525","22145","¥2.23","¥3.60","26-05-07","1"
"Claude Sonnet 4.5","50.24","39.93","20.52%","+29%","202","14096","¥40.85","¥103.50","25-09-29","1"
"MiniMax-M2.7","49.13","35.94","26.85%","-","491","26886","¥6.32","¥8.40","26-03-18","1"
"Gemini 3.5 Flash (minimal)","45.60","33.91","25.64%","+64.8%","34","5611","¥9.76","¥62.10","26-05-20","1"
"Grok 4.3","43.10","35.20","18.33%","-","148","15063","¥7.28","¥17.25","26-05-01","1"
"MiMo-V2.5-Pro","42.31","27.58","34.81%","+18.9%","325","22985","¥3.86","¥6.00","26-04-23","1"
"Qwen3.5-27B","41.85","32.42","22.53%","-","374","23260","¥3.13","¥4.80","26-02-25","1"
"Gemma 4 31B","40.27","31.50","21.78%","-","845","14743","¥1.14","¥2.76","26-04-03","1"
"GPT-5.5 Instant","39.77","27.37","31.18%","-","20","1697","¥9.84","¥207.00","26-05-06","0"
"Qwen3.6-Plus","39.07","31.68","18.91%","+4.5%","57","6705","¥2.25","¥12.00","26-04-02","0"
"LongCat-Flash-Thinking-2601","37.20","21.78","41.45%","-","471","32829","-","-","26-01-23","1"
"Step-3.5-Flash","37.15","24.39","34.35%","+70.9%","191","30131","¥1.77","¥2.10","26-02-02","1"
"Step-3.7-Flash","36.93","22.02","40.37%","-","162","41051","¥9.31","¥8.10","26-05-29","1"
"Qwen3.7-Max","35.31","29.80","15.60%","-","180","6998","¥7.05","¥36.00","26-05-21","0"
"ERNIE 5.1","34.17","27.74","18.82%","+2.4%","354","23190","¥11.69","¥18.00","26-05-09","1"
"Gemini 3.1 Flash Lite (high)","32.18","21.49","33.22%","-","69","30866","¥8.94","¥10.35","26-03-03","1"
"Mistral Medium 3.5","31.76","25.25","20.50%","-","141","29558","¥42.83","¥51.75","26-04-30","1"
"MiMo-V2.5","28.60","20.21","29.34%","-","102","12047","¥0.67","¥2.00","26-04-23","1"
"DeepSeek V4 Flash","27.25","19.64","27.93%","-","39","2491","¥0.14","¥2.00","26-04-24","0"
"Claude Sonnet 4.6","25.89","19.89","23.17%","+91.5%","34","2501","¥7.56","¥108.00","26-02-17","0"
"Doubao-Seed-2.0-pro","24.93","17.87","28.32%","+44.2%","20","1199","¥0.54","¥16.00","26-02-14","0"
"GLM-5.1","23.88","19.07","20.14%","-","29","1544","¥1.04","¥24.00","26-04-08","0"
"Ling-2.6-1T","23.30","17.50","24.89%","-","30","3666","¥1.64","¥16.00","26-04-23","0"
"讯飞星火X2","22.92","14.04","38.74%","-","463","12086","¥0.68","¥2.00","26-02-11","1"
"Gemini 3.1 Flash Lite","17.39","15.38","11.56%","-","4","720","¥0.21","¥10.35","26-03-03","0"
"Ling-2.6-flash","17.33","10.95","36.81%","+15.2%","21","4357","¥0.25","¥2.07","26-04-22","0"
"MiMo-V2.5","16.56","9.72","41.30%","-","24","2757","¥0.15","¥2.00","26-04-23","0"
"Mistral Medium 3.5","16.29","12.15","25.41%","-","13","2635","¥3.82","¥51.75","26-04-30","0"
